,PLZL RM Equity
,GHG_SCOPE_1
2013-12-31,2060.0
2014-12-31,2000.0
2015-12-31,2030.0
2016-12-31,1960.0
2017-12-31,1630.0
2018-12-31,1630.0
2019-12-31,1630.0
2020-12-31,1510.0
2021-12-31,1330.0
