,CNE LN Equity
,GHG_SCOPE_1
2011-12-31,166.266
2012-12-31,1.589
2013-12-31,25.029
2014-12-31,59.465
2015-12-31,32.435
2016-12-31,29.487
2017-12-31,48.782
2018-12-31,4.624
2019-12-31,40.184
2020-12-31,24.44
2021-12-31,0.911
