,RSW LN Equity
,GHG_SCOPE_1
2011-06-30,2.386
2012-06-30,4.085
2013-06-30,3.178
2014-06-30,4.444
2015-06-30,3.739
2016-06-30,3.83
2017-06-30,3.773
2018-06-30,3.866
2019-06-30,3.835
2020-06-30,4.06
2021-06-30,3.424
2022-06-30,3.9
