,STAN LN Equity
,GHG_SCOPE_1
2011-12-31,20.877
2012-12-31,26.56
2013-12-31,23.878
2014-12-31,20.144
2015-12-31,16.904
2016-12-31,13.562
2017-12-31,7.922
2018-12-31,8.584
2019-12-31,4.542
2020-12-31,3.988
2021-12-31,2.902
