,PRY IM Equity
,GHG_SCOPE_1
2012-12-31,89.657
2013-12-31,94.426
2014-12-31,182.137
2015-12-31,225.154
2016-12-31,240.615
2017-12-31,228.857
2018-12-31,273.537
2019-12-31,329.916
2020-12-31,307.323
2021-12-31,313.553
