,DSY FP Equity
,GHG_SCOPE_1
2011-12-31,4.82
2012-12-31,2.69
2013-12-31,3.305
2014-12-31,3.88
2015-12-31,4.79
2016-12-31,4.94
2017-12-31,4.9
2018-12-31,7.465
2019-12-31,5.403
2020-12-31,4.629
2021-12-31,3.859
