,WTB LN Equity
,GHG_SCOPE_1
2011-03-03,53.431
2012-03-01,51.301
2013-02-28,57.278
2014-02-27,66.941
2015-02-26,62.932
2016-03-03,65.173
2017-03-02,65.778
2018-03-01,82.154
2019-02-28,71.957
2020-02-27,70.171
2021-02-25,46.254
2022-03-03,63.715
