,NXT LN Equity
,GHG_SCOPE_1
2011-01-29,36.6
2012-01-28,32.049
2013-01-26,38.487
2014-01-25,47.764
2015-01-24,48.747
2016-01-30,52.021
2017-01-28,52.901
2018-01-27,48.163
2019-01-26,46.911
2020-01-25,45.739
2021-01-30,36.914
2022-01-29,42.616
