,KEMIRA FH Equity
,GHG_SCOPE_1
2011-12-31,180.0
2012-12-31,137.0
2013-12-31,137.0
2014-12-31,144.0
2015-12-31,169.0
2016-12-31,162.0
2017-12-31,153.0
2018-12-31,158.0
2019-12-31,134.0
2020-12-31,136.0
2021-12-31,160.0
