,ACS SM Equity
,GHG_SCOPE_1
2011-12-31,1742.34
2012-12-31,322.758
2013-12-31,3771.67
2014-12-31,5798.39
2015-12-31,3288.76
2016-12-31,2169.79
2017-12-31,2366.58
2018-12-31,2983.22
2019-12-31,3002.65
2020-12-31,2683.67
2021-12-31,323.889
