,ENEL IM Equity
,GHG_SCOPE_1
2011-12-31,123540.0
2012-12-31,127800.0
2013-12-31,115568.0
2014-12-31,115480.0
2015-12-31,119510.0
2016-12-31,106730.0
2017-12-31,105510.0
2018-12-31,94800.0
2019-12-31,69980.0
2020-12-31,45260.0
2021-12-31,51570.0
