,ELPE GA Equity
,GHG_SCOPE_1
2011-12-31,1888.42
2012-12-31,2009.78
2013-12-31,3461.44
2014-12-31,3565.56
2015-12-31,3318.92
2016-12-31,3731.77
2017-12-31,3319.91
2018-12-31,3636.64
2019-12-31,3378.38
2020-12-31,3298.59
2021-12-31,3766.69
