,NEX LN Equity
,GHG_SCOPE_1
2011-12-31,267.037
2012-12-31,754.973
2013-12-31,765.526
2014-12-31,750.523
2015-12-31,765.434
2016-12-31,799.929
2017-12-31,801.061
2018-12-31,808.212
2019-12-31,823.582
2020-12-31,514.106
2021-12-31,657.239
