,ALO FP Equity
,GHG_SCOPE_1
2011-03-31,207.0
2012-03-31,308.0
2013-03-31,207.006
2014-03-31,185.006
2015-03-31,155.005
2016-03-31,54.0
2017-03-31,50.0
2018-03-31,48.0
2019-03-31,50.0
2020-03-31,52.0
2021-03-31,49.0
2022-03-31,100.0
