,GSK LN Equity
,GHG_SCOPE_1
2011-12-31,1035.86
2012-12-31,1016.98
2013-12-31,1040.93
2014-12-31,877.04
2015-12-31,884.772
2016-12-31,893.0
2017-12-31,865.0
2018-12-31,823.0
2019-12-31,800.0
2020-12-31,773.0
2021-12-31,681.0
