,TLW LN Equity
,GHG_SCOPE_1
2011-12-31,1376.59
2012-12-31,579.834
2013-12-31,776.629
2014-12-31,764.7
2015-12-31,752.539
2016-12-31,754.338
2017-12-31,1603.38
2018-12-31,1218.01
2019-12-31,1263.26
2020-12-31,2032.03
2021-12-31,2233.85
