,WBD IM Equity
,GHG_SCOPE_1
2012-12-31,399.169
2013-12-31,391.607
2014-12-31,473.619
2015-12-31,526.032
2016-12-31,534.974
2017-12-31,566.952
2018-12-31,467.234
2019-12-31,350.593
2020-12-31,330.596
2021-12-31,311.272
