,QDT FP Equity
,GHG_SCOPE_1
2012-01-31,13.623
2013-01-31,13.72
2014-01-31,14.48
2015-01-31,14.181
2016-01-31,14.058
2017-01-31,13.711
2018-01-31,13.865
2019-01-31,12.349
2020-01-31,10.264
2021-01-31,7.042
2022-01-31,6.251
