,MKS LN Equity
,GHG_SCOPE_1
2011-04-02,223.0
2012-03-31,171.0
2013-03-30,181.0
2014-03-29,169.0
2015-03-28,167.0
2016-04-02,182.0
2017-04-01,185.0
2018-03-31,182.0
2019-03-30,167.0
2020-03-28,173.0
