,NHY NO Equity
,GHG_SCOPE_1
2011-12-31,9480.0
2012-12-31,9600.0
2013-12-31,9250.0
2014-12-31,9540.0
2015-12-31,8170.0
2016-12-31,8490.0
2017-12-31,8480.0
2018-12-31,7050.0
2019-12-31,9267.74
2020-12-31,9555.29
2021-12-31,9601.36
