,TEL2B SS Equity
,GHG_SCOPE_1
2012-12-31,10.232
2013-12-31,6.685
2014-12-31,7.144
2015-12-31,7.974
2016-12-31,6.749
2017-12-31,5.58
2018-12-31,6.213
2019-12-31,4.406
2020-12-31,2.434
2021-12-31,2.443
