,RAIVV FH Equity
,GHG_SCOPE_1
2011-12-31,1.511
2012-12-31,1.649
2013-12-31,1.501
2014-12-31,1.408
2015-12-31,10.324
2016-12-31,10.15
2017-12-31,1.4
2018-12-31,0.45
2019-12-31,0.45
2020-12-31,0.45
2021-12-31,0.2
