,SGE LN Equity
,GHG_SCOPE_1
2011-09-30,1.606
2012-09-30,1.47
2013-09-30,9.55
2014-09-30,9.238
2015-09-30,15.078
2016-09-30,9.88
2017-09-30,1.338
2018-09-30,1.489
2019-09-30,1.805
2020-09-30,1.566
2021-09-30,1.06
