,RWE GR Equity
,GHG_SCOPE_1
2011-12-31,163800.0
2012-12-31,181700.0
2013-12-31,165700.0
2014-12-31,156600.0
2015-12-31,152300.0
2016-12-31,154000.0
2017-12-31,135600.0
2018-12-31,120400.0
2019-12-31,91700.0
2020-12-31,70400.0
2021-12-31,86900.0
