,BLND LN Equity
,GHG_SCOPE_1
2011-03-31,1.942
2012-03-31,1.821
2013-03-31,6.728
2014-03-31,7.082
2015-03-31,7.519
2016-03-31,7.928
2017-03-31,7.609
2018-03-31,6.967
2019-03-31,8.956
2020-03-31,6.945
2021-03-31,6.663
2022-03-31,6.953
