,LI FP Equity
,GHG_SCOPE_1
2011-12-31,16.28
2012-12-31,12.2
2013-12-31,11.047
2014-12-31,14.025
2015-12-31,16.189
2016-12-31,16.453
2017-12-31,19.496
2018-12-31,10.947
2019-12-31,13.19
2020-12-31,11.341
2021-12-31,10.076
