,SGRE SM Equity
,GHG_SCOPE_1
2011-12-31,15.991
2012-12-31,14.202
2013-12-31,10.038
2014-12-31,6.122
2015-12-31,12.079
2017-09-30,10.808
2018-09-30,22.865
2019-09-30,26.437
2020-09-30,26.053
2021-09-30,26.788
2022-09-30,20.597
