,SVT LN Equity
,GHG_SCOPE_1
2011-03-31,153.0
2013-03-31,146.5
2014-03-31,169.844
2015-03-31,154.644
2016-03-31,156.979
2017-03-31,138.131
2018-03-31,134.307
2019-03-31,132.36
2020-03-31,156.014
2021-03-31,164.116
2022-03-31,471.433
