,RTN LN Equity
,GHG_SCOPE_1
2013-12-29,21.443
2014-12-28,17.76
2015-12-27,19.874
2017-01-01,20.597
2017-12-31,18.971
2018-12-30,18.748
2019-12-29,24.774
2020-12-27,13.267
2022-01-02,18.044
