,PRU LN Equity
,GHG_SCOPE_1
2013-12-31,21.918
2014-12-31,23.355
2015-12-31,17.254
2016-12-31,17.714
2017-12-31,18.201
2018-12-31,16.902
2019-12-31,9.353
2020-12-31,5.637
2021-12-31,4.076
