,POLY LN Equity
,GHG_SCOPE_1
2011-12-31,218.46
2012-12-31,345.13
2013-12-31,327.222
2014-12-31,304.248
2015-12-31,244.0
2016-12-31,268.093
2017-12-31,280.851
2018-12-31,311.83
2019-12-31,488.014
2020-12-31,612.67
2021-12-31,682.645
