,KGH PW Equity
,GHG_SCOPE_1
2013-12-31,1475.58
2014-12-31,1964.52
2015-12-31,2041.47
2016-12-31,1832.62
2017-12-31,1489.03
2018-12-31,1538.54
2019-12-31,1691.57
2020-12-31,1430.23
2021-12-31,1457.9
