,RTO LN Equity
,GHG_SCOPE_1
2011-12-31,228.115
2012-12-31,223.383
2013-12-31,191.231
2014-12-31,179.753
2015-12-31,172.943
2016-12-31,176.698
2017-12-31,166.287
2018-12-31,170.609
2019-12-31,178.889
2020-12-31,169.755
2021-12-31,184.438
