,RI FP Equity
,GHG_SCOPE_1
2011-06-30,264.481
2012-06-30,280.47
2013-06-30,267.619
2014-06-30,273.314
2015-06-30,269.525
2016-06-30,274.61
2017-06-30,254.818
2018-06-30,250.542
2019-06-30,262.378
2020-06-30,255.417
2021-06-30,265.819
