,NZYMB DC Equity
,GHG_SCOPE_1
2011-12-31,48.0
2012-12-31,41.0
2013-12-31,40.0
2014-12-31,40.0
2015-12-31,37.0
2016-12-31,39.0
2017-12-31,39.0
2018-12-31,38.0
2019-12-31,40.0
2020-12-31,37.0
2021-12-31,43.0
