,ABI BB Equity
,GHG_SCOPE_1
2011-12-31,2693.26
2012-12-31,2464.4
2013-12-31,3453.12
2014-12-31,4127.6
2015-12-31,3380.0
2016-12-31,2995.2
2017-12-31,3708.0
2018-12-31,3557.7
2019-12-31,3591.2
2020-12-31,2590.0
2021-12-31,2980.0
