,ENI IM Equity
,GHG_SCOPE_1
2011-12-31,49121.199
2012-12-31,52493.301
2013-12-31,47299.602
2014-12-31,42925.898
2015-12-31,38513.301
2016-12-31,40100.0
2017-12-31,42520.0
2018-12-31,43350.0
2019-12-31,41200.0
2020-12-31,37760.0
2021-12-31,40080.0
