,SCHP SW Equity
,GHG_SCOPE_1
2013-12-31,133.0
2014-12-31,137.0
2015-12-31,135.0
2016-12-31,135.0
2017-12-31,145.6
2018-12-31,147.0
2019-12-31,146.6
2020-12-31,129.68
2021-12-31,135.905
