,TFI FP Equity
,GHG_SCOPE_1
2011-12-31,0.225
2012-12-31,0.293
2013-12-31,0.169
2014-12-31,1.259
2015-12-31,1.282
2016-12-31,1.046
2017-12-31,1.154
2018-12-31,0.889
2019-12-31,0.517
2020-12-31,0.732
2021-12-31,1.461
