,WKP LN Equity
,GHG_SCOPE_1
2013-03-31,4.221
2014-03-31,3.768
2015-03-31,3.518
2016-03-31,3.375
2017-03-31,3.181
2018-03-31,3.192
2019-03-31,3.113
2020-03-31,3.58
2021-03-31,2.887
2022-03-31,3.288
