,PSON LN Equity
,GHG_SCOPE_1
2011-12-31,36.0
2012-12-31,31.095
2013-12-31,30.17
2014-12-31,25.027
2015-12-31,22.343
2016-12-31,19.093
2017-12-31,15.691
2018-12-31,13.057
2019-12-31,13.251
2020-12-31,7.251
