,STJ LN Equity
,GHG_SCOPE_1
2011-12-31,0.786
2013-12-31,0.851
2014-12-31,0.932
2015-12-31,0.764
2016-12-31,0.683
2017-12-31,0.876
2018-12-31,0.72
2019-12-31,0.725
2020-12-31,0.544
2021-12-31,0.934
