,ELISA FH Equity
,GHG_SCOPE_1
2011-12-31,0.162
2012-12-31,0.332
2013-12-31,0.486
2014-12-31,0.339
2015-12-31,0.409
2016-12-31,0.391
2017-12-31,0.409
2018-12-31,0.433
2019-12-31,0.65
2020-12-31,0.666
2021-12-31,0.597
