,HAS LN Equity
,GHG_SCOPE_1
2011-06-30,3.782
2012-06-30,3.179
2013-06-30,2.823
2014-06-30,5.022
2015-06-30,4.664
2016-06-30,4.92
2017-06-30,5.009
2018-06-30,5.285
2019-06-30,5.734
2020-06-30,5.928
2021-06-30,3.244
2022-06-30,3.989
