,CA FP Equity
,GHG_SCOPE_1
2011-12-31,1677.0
2012-12-31,1630.0
2013-12-31,1775.0
2014-12-31,1629.8
2015-12-31,1686.6
2016-12-31,1132.3
2017-12-31,1190.0
2018-12-31,879.1
2019-12-31,827.8
2020-12-31,698.7
2021-12-31,614.0
