,SLHN SW Equity
,GHG_SCOPE_1
2012-12-31,6.92
2013-12-31,6.835
2014-12-31,7.12
2015-12-31,8.12
2016-12-31,8.84
2017-12-31,8.43
2018-12-31,9.341
2019-12-31,6.596
2020-12-31,5.423
2021-12-31,8.585
