,FRIGO GA Equity
,GHG_SCOPE_1
2011-12-31,127.697
2012-12-31,162.951
2013-12-31,165.478
2015-12-31,71.67
2016-12-31,70.56
2017-12-31,66.57
2018-12-31,17.08
2019-12-31,21.04
2020-12-31,15.21
2021-12-31,26.99
