,SAN FP Equity
,GHG_SCOPE_1
2011-12-31,668.918
2012-12-31,645.564
2013-12-31,624.612
2014-12-31,603.853
2015-12-31,613.245
2016-12-31,557.414
2017-12-31,541.255
2018-12-31,676.913
2019-12-31,559.421
2020-12-31,515.328
2021-12-31,467.78
