,CNA LN Equity
,GHG_SCOPE_1
2011-12-31,8183.5
2012-12-31,7230.34
2013-12-31,7031.66
2014-12-31,5452.51
2015-12-31,4272.48
2016-12-31,5030.8
2017-12-31,4044.75
2018-12-31,1698.39
2019-12-31,2246.17
2020-12-31,1885.45
2021-12-31,225.769
