,DOM LN Equity
,GHG_SCOPE_1
2013-12-29,7.816
2014-12-28,7.296
2015-12-27,7.483
2016-12-25,7.572
2017-12-31,7.531
2018-12-30,9.172
2019-12-29,9.973
2020-12-27,11.344
2021-12-26,12.948
