,EOAN GR Equity
,GHG_SCOPE_1
2011-12-31,141400.0
2012-12-31,129900.0
2013-12-31,117200.0
2014-12-31,97900.0
2015-12-31,80000.0
2016-12-31,4610.0
2017-12-31,5040.0
2018-12-31,4870.0
2019-12-31,5780.0
2020-12-31,3560.0
2021-12-31,3710.0
