,BARC LN Equity
,GHG_SCOPE_1
2011-12-31,51.138
2012-12-31,46.757
2013-12-31,49.52
2014-12-31,49.994
2015-12-31,65.34
2016-12-31,46.571
2017-12-31,25.627
2018-12-31,25.553
2019-12-31,24.276
2020-12-31,18.839
