,TKA GR Equity
,GHG_SCOPE_1
2011-09-30,20900.0
2012-09-30,16848.0
2013-09-30,26700.0
2014-09-30,32000.0
2015-09-30,32600.0
2016-09-30,32600.0
2017-09-30,22100.0
2018-09-30,22600.0
2019-09-30,21800.0
2020-09-30,21300.0
2021-09-30,23200.0
2022-09-30,21400.0
