,TOASO TI Equity
,GHG_SCOPE_1
2013-12-31,49.208
2014-12-31,50.103
2015-12-31,68.904
2016-12-31,78.992
2017-12-31,68.467
2018-12-31,50.062
2019-12-31,46.266
2020-12-31,42.784
2021-12-31,55.191
