,WALLB SS Equity
,GHG_SCOPE_1
2013-12-31,0.159
2014-12-31,0.145
2015-12-31,0.156
2016-12-31,0.158
2017-12-31,0.124
2018-12-31,0.132
2019-12-31,0.123
2020-12-31,0.639
2021-12-31,0.401
