,BA/ LN Equity
,GHG_SCOPE_1
2011-12-31,353.0
2012-12-31,236.0
2013-12-31,535.37
2014-12-31,535.233
2015-12-31,596.515
2016-12-31,579.88
2017-12-31,525.032
2018-12-31,506.248
2019-12-31,480.932
2020-12-31,151.19
2021-12-31,142.241
