,ROG SW Equity
,GHG_SCOPE_1
2011-12-31,419.306
2012-12-31,388.061
2013-12-31,396.588
2014-12-31,362.582
2015-12-31,384.421
2016-12-31,326.001
2017-12-31,295.319
2018-12-31,289.636
2019-12-31,288.157
2020-12-31,256.815
2021-12-31,254.06
