,COV FP Equity
,GHG_SCOPE_1
2012-12-31,1.693
2013-12-31,2.281
2014-12-31,1.829
2015-12-31,6.099
2016-12-31,18.717
2017-12-31,23.441
2018-12-31,16.224
2019-12-31,19.475
2020-12-31,11.254
2021-12-31,13.989
