,YKBNK TI Equity
,GHG_SCOPE_1
2011-12-31,7.265
2012-12-31,13.162
2013-12-31,12.018
2014-12-31,10.685
2015-12-31,19.392
2016-12-31,20.417
2017-12-31,15.975
2018-12-31,14.665
2019-12-31,17.249
2020-12-31,13.731
2021-12-31,15.717
