,CHR DC Equity
,GHG_SCOPE_1
2012-08-31,23.352
2013-08-31,23.47
2014-08-31,24.029
2015-08-31,22.837
2016-08-31,21.453
2017-08-31,24.541
2018-08-31,24.845
2019-08-31,25.881
2020-08-31,19.642
2021-08-31,18.599
