,AZN LN Equity
,GHG_SCOPE_1
2011-12-31,410.0
2012-12-31,341.0
2013-12-31,325.0
2014-12-31,328.722
2015-12-31,338.038
2016-12-31,309.685
2017-12-31,295.677
2018-12-31,301.896
2019-12-31,285.798
2020-12-31,224.771
2021-12-31,245.882
