,SXS LN Equity
,GHG_SCOPE_1
2012-12-31,2.934
2013-12-31,3.03
2014-12-31,10.38
2015-12-31,11.021
2016-12-31,10.714
2017-12-31,14.112
2018-12-31,9.256
2019-12-31,16.071
2020-12-31,12.189
2021-12-31,6.964
