,PPC GA Equity
,GHG_SCOPE_1
2011-12-31,48080.0
2012-12-31,48900.0
2013-12-31,42484.602
2014-12-31,40589.0
2015-12-31,35313.699
2016-12-31,29156.301
2017-12-31,32566.699
2018-12-31,26555.0
2019-12-31,17579.0
2020-12-31,13042.8
