,WEIR LN Equity
,GHG_SCOPE_1
2014-01-03,53.316
2015-01-02,46.64
2016-01-01,36.012
2016-12-31,37.17
2017-12-31,33.3
2018-12-31,89.002
2019-12-31,81.631
2020-12-31,49.506
2021-12-31,62.07
